2. DFT data set

ID IP/eV n/cP Tb/K Tf/K mu(Li)/(keal/mol) mu(PF6-)/(kcal/mol)
N1C21 -10.40 0.42 387.15 263.18 16.44 -1.59
N1C31 -8.73 0.40 386.61 261.35 15.90 0.78
N1C41 -8.40 0.47 402.43 272.69 15.86 2.03
N1C42 -8.57 0.41 395.24 266.22 15.73 2.10
N1C51 -8.14 0.58 423.03 287.97 15.80 2.73
N1C52 -7.99 0.49 414.72 280.39 15.76 2.86
N1C53 -8.06 0.55 418.25 284.09 15.92 2.79
N1C54 -9.46 0.43 405.67 272.76 15.67 2.94
N1C66 -7.76 0.52 426.29 288.02 15.66 3.42
N1C67 -7.57 0.62 431.88 293.70 16.02 3.21
N1C68 -7.65 0.57 432.79 293.44 15.86 3.40
N1C712 -7.66 0.68 452.19 307.59 15.96 3.95
N2C10113 -8.28 1.84 527.65 361.88 18.65 3.34
N2C10119 -8.05 2.37 525.19 361.61 16.77 2.66
N2C10121 -8.05 2.68 527.94 364.83 17.04 2.86
N2C10122 -7.98 2.67 529.41 365.43 16.79 2.70
N2C10125 -7.87 2.60 557.14 380.57 16.08 2.30
N2C10126 -6.50 2.73 559.93 382.75 16.01 2.43
N2C10128 -8.00 3.17 572.58 391.66 15.67 2.10
N2C10129 -8.00 2.97 563.31 385.67 16.06 2.45
N2C10130 -8.02 3.28 572.05 391.66 15.66 2.16
N2C10149 -7.99 3.51 618.82 417.61 15.78 1.88
N2C10162 -7.87 3.94 690.82 456.49 15.73 1.84
N2C10203 -6.28 3.09 536.26 370.05 16.95 2.69
N2C10206 -7.86 3.93 630.24 424.58 17.21 2.55
N2C10209 -8.01 3.29 582.25 396.73 16.10 2.21
N2C10212 -7.85 3.13 571.60 390.57 16.26 2.30
N2C10214 -7.96 2.78 662.46 438.83 15.73 2.14
N2C10215 -7.73 3.75 643.81 432.09 15.77 2.15
N2C10248 -8.17 1.59 525.49 358.94 18.62 3.45
N2C10256 -8.00 2.25 519.86 357.94 16.90 2.59
N2C10258 -7.80 2.45 524.30 361.36 16.73 2.59
N2C10262 -7.86 3.08 586.39 398.27 16.10 2.02
N2C10265 -7.78 2.68 560.56 382.80 16.04 2.39
N2C10266 -8.03 2.76 565.05 385.55 15.68 2.06
N2C10284 -7.43 2.94 620.73 416.21 17.18 2.47
N2C10303 -7.10 1.50 528.40 360.17 18.54 3.61
N2C10313 -8.13 2.70 630.02 421.52 15.62 2.03
N2C10324 -7.47 1.31 527.82 357.81 18.28 3.42
N2C10328 -7.64 2.22 670.84 441.03 15.43 1.74
N2C10369 -8.03 3.72 556.61 378.08 16.70 2.51
N2C10374 -7.94 5.36 618.05 416.02 15.89 1.94
N2C10437 -7.92 5.61 668.48 443.69 15.40 1.69
N2C10479 -7.44 2.34 579.13 386.78 17.89 3.12
N2C1047 -6.33 3.61 537.82 372.85 16.90 2.63
N2C10496 -6.56 3.43 557.11 377.30 16.74 2.48
N2C10500 -7.81 3.37 561.99 380.06 16.65 2.54
N2C10509 -7.58 4.77 695.95 456.01 15.88 1.68
N2C10510 -7.59 5.00 722.37 470.14 15.89 1.69
N2C10519 -8.03 4.42 620.09 415.11 15.96 2.01
N2C10520 -8.04 5.10 708.60 463.45 15.91 1.81
N2C1052 -6.64 3.07 599.10 406.04 16.07 2.47
N2C10539 -7.56 4.44 616.89 413.00 16.06 1.78
N2C10576 -7.90 5.48 646.08 431.06 15.93 1.73
N2C10606 -7.66 4.24 686.41 449.90 15.80 1.77
N2C10607 -7.71 4.18 615.28 411.83 15.95 1.92
N2C10608 -7.88 4.84 631.97 421.82 16.14 1.85
N2C10611 -7.82 5.13 642.18 427.37 16.70 2.13
N2C10612 -7.36 5.32 638.25 426.28 16.09 1.65
N2C10622 -7.50 2.69 549.32 370.91 16.51 2.61
N2C10625 -7.98 3.88 618.76 413.26 15.79 1.82
N2C10631 -7.89 4.23 690.99 451.94 15.59 1.78
N2C10636 -7.57 2.44 573.93 384.65 18.39 3.21
N2C10640 -8.52 3.58 734.25 473.57 15.24 1.42
N2C10641 -7.68 3.69 600.43 402.71 15.80 1.97
N2C10645 -8.00 3.57 666.44 437.22 16.84 2.24
N2C10646 -7.74 4.12 612.48 409.83 16.47 2.13
N2C10647 -7.94 4.51 645.56 428.76 15.87 1.73
N2C21 -11.60 0.25 268.24 189.51 23.32 3.34
N2C31 -9.66 2.25 518.64 360.21 18.26 2.15
N2C41 -9.02 3.48 613.10 418.43 17.33 -0.48
N2C42 -9.57 1.58 495.52 342.16 18.60 0.68
N2C51 -8.78 2.40 559.70 382.93 16.59 -1.17
N2C52 -8.98 1.60 495.67 341.43 18.67 1.42
N2C54 -9.50 0.97 478.25 325.96 18.41 0.70
N2C61 -8.47 3.23 616.39 417.08 16.14 -0.63
N2C62 -6.58 1.83 503.47 346.75 18.67 1.86
N2C63 -8.40 2.82 589.15 399.73 17.29 0.57
N2C64 -8.57 2.59 568.46 387.95 16.35 -0.36
N2C65 -8.43 2.32 557.91 380.27 16.49 0.03
N2C66 -8.27 1.01 485.51 330.38 18.36 1.51
N2C67 -8.51 2.13 585.92 395.08 17.18 0.31
N2C68 -7.73 1.58 497.35 341.72 18.76 1.95
N2C69 -8.41 2.15 502.50 347.90 17.15 0.57
N2C710 -8.15 2.32 585.23 395.08 17.17 0.96
N2C711 -8.39 2.41 562.57 383.19 16.23 0.50
N2C712 -8.50 2.21 554.02 376.69 16.46 0.76
N2C713 -8.01 1.86 507.03 348.57 18.69 2.23
N2C714 -8.01 2.06 515.40 354.66 18.74 2.23
N2C715 -6.48 2.19 509.49 351.48 16.80 1.09
N2C716 -8.33 2.48 567.95 386.51 16.05 0.27
N2C717 -8.27 3.18 600.96 406.68 17.31 1.14
N2C718 -8.03 2.60 672.44 444.28 15.80 0.05
N2C719 -7.62 1.05 492.11 334.52 18.41 2.19
N2C71 -7.11 2.33 643.76 427.89 15.89 0.31
N2C721 -8.45 1.55 497.24 341.10 18.81 2.39
N2C722 -8.63 3.94 686.31 450.27 16.59 0.40
N2C723 -8.49 4.22 637.69 425.48 16.00 -0.13
N2C73 -7.28 3.28 604.69 409.14 17.14 1.00
N2C74 -8.19 2.90 570.71 389.59 16.30 0.46
N2C75 -8.13 2.19 626.09 417.48 15.78 0.45
N2C76 -8.21 2.64 558.75 381.60 16.47 0.83
N2C77 -8.23 3.24 618.29 417.45 15.89 0.16
N2C78 -8.55 1.06 492.95 335.13 18.36 2.16
N2C79 -6.47 1.16 502.01 341.29 18.28 2.01
N2C810 -8.01 3.45 647.80 433.65 15.45 0.56
N2C813 -8.14 2.64 596.32 402.13 17.17 1.55
N2C814 -6.52 3.05 617.03 415.00 17.04 1.53
N2C815 -7.96 2.72 568.08 387.22 16.20 1.05
N2C816 -8.05 2.97 614.47 414.14 15.73 0.96
N2C817 -8.00 2.63 565.88 384.97 16.45 1.33
N2C823 -8.30 2.63 519.98 359.36 16.87 1.72
N2C824 -6.31 2.51 515.22 356.12 16.93 1.71
N2C825 -7.11 2.33 546.25 373.20 16.08 1.35
N2C826 -6.63 2.17 637.74 423.23 15.61 1.06
N2C827 -7.79 3.51 616.08 415.51 17.04 1.48
N2C828 -7.98 2.98 672.71 445.19 15.81 0.69
N2C829 -7.83 3.55 582.88 398.08 16.34 1.29
N2C830 -7.19 3.03 595.31 403.17 16.19 1.09
N2C831 -7.79 2.65 581.65 394.32 15.85 1.00
N2C833 -8.15 3.00 570.89 389.74 15.66 0.99
N2C835 -8.22 3.28 620.35 417.83 15.94 0.81
N2C836 -7.64 1.12 503.56 341.95 18.43 2.86
N2C837 -6.48 1.20 509.93 346.34 18.32 2.50
N2C838 -8.01 1.40 509.15 347.53 18.47 2.56
N2C839 -8.07 1.91 505.09 347.44 16.77 1.56
N2C840 -8.34 1.80 501.00 344.64 16.97 1.94
N2C841 -8.26 2.00 539.25 367.49 15.95 1.32
N2C842 -7.73 2.43 508.86 352.12 17.19 1.73
N2C848 -7.79 2.25 547.21 373.11 16.05 1.14
N2C844 -7.82 1.82 508.31 348.99 18.80 2.62
N2C845 -7.80 2.16 518.14 356.53 18.80 2.53
N2C846 -7.72 2.65 666.67 440.54 15.85 0.67
N2C847 -8.03 3.24 604.39 408.20 17.29 1.49
N2C849 -8.15 2.62 618.01 413.90 17.08 1.63
N2C850 -8.03 2.50 567.14 385.65 15.99 0.98
N2C851 -8.42 1.10 499.23 339.11 18.44 2.63
N2C852 -8.92 1.56 593.87 396.04 16.79 1.36
N2C85 -8.11 2.82 581.10 394.75 15.82 1.01
N2C861 -8.04 1.77 551.07 367.83 17.99 2.44
N2C863 -8.01 2.75 539.72 365.06 16.60 1.47
N2C864 -8.16 3.60 699.80 456.04 15.86 0.57
N2C865 -7.91 3.96 562.84 381.78 16.70 1.42
N2C866 -8.26 4.94 703.74 461.04 16.57 1.06
N2C867 -7.92 4.28 622.58 416.35 15.89 0.61
N2C868 -8.03 4.11 719.90 467.94 15.90 0.57
N2C89 -7.94 3.60 598.87 407.48 15.64 0.77
N2C9103 -7.94 2.85 527.62 364.33 16.97 2.24
N2C9106 -8.02 2.86 577.08 392.53 16.04 1.69
N2C9107 -7.75 3.59 694.37 458.23 15.73 1.57
N2C9109 -7.96 2.36 648.83 429.97 15.67 1.56
N2C9110 -8.05 2.79 570.11 388.08 16.29 1.81
N2C9114 -6.39 1.24 518.21 351.48 18.25 3.07
N2C9117 -7.91 1.97 506.43 348.57 16.96 2.30
N2C9118 -8.15 2.46 582.05 393.85 16.02 1.44
N2C9121 -7.65 2.65 571.19 388.10 16.01 1.52
N2C9122 -7.34 2.78 640.28 426.43 16.92 1.79
N2C9123 -8.41 1.18 511.37 347.24 18.44 3.22
N2C9124 -7.77 1.37 515.03 351.00 18.50 2.96
N2C9126 -8.44 1.75 607.49 404.66 16.76 1.98
N2C9127 -8.06 2.06 663.01 436.42 15.47 1.38
