Supporting Information for

Toward new solvents for EDLCs: From computational
screening to electrochemical validation

C. Schiitter,* T. Husch®, M. Korth>*, A. Balducci*:<*

@ University of Minster, MEET Battery Research Centre and Institute of Physical Chemistry, Corrensstr. 28/30, 48149 Minster (D)
> Ulm University, Institute for Theoretical Chemistry, Albert-Einstein-Allee 11, 89081 Ulm (D)
© Helmholtz Institute Ulm, Karlsruhe Institute of Technology, Helmholtzstrae 11, 89081 Ulm (D)

* Corresponding author e-mail: andrea.balducci@uni-muenster.de, martin.korth@uni-ulm.de

Contents:
1. SQM data set
2. DFT data set

1. SQM data set

ID HOMO/eV LUMO/eV n/cP Tb/K Tf/K Tm/K DeltaGsolv-Li-kcal/mol DeltaGsolv-pf6-kcal/mol
N1C010100 -11.128 1.077 1.15689 499.734 334.591 -12.9 -123.45591 -48.15963
N1C010101 -11.051 1.026 1.37819 510.494 342.708 -16.9 -122.87247 -48.21544
N1010102 -11.220 1.037 1.36346 513.457 344.100 -19.3 -123.02528 -48.11558
N1C010103 -10.898 1.078 1.16317 497.453 333.721 -14.6 -122.95352 -48.27041
N1010104 -11.085 1.026 1.23661 504.182 338.021 -18.2 -122.74956 -48.13246
N1C010105 -10.910 1.085 1.10129 496.065 332.527 -22.5 -122.63691 -48.07191
N1C010106 -10.944 1.021 1.30242 505.265 339.526 -27.6 -122.40474 -48.11384
N1C010107 -11.214 1.048 1.26166 504.575 338.474 -26.5 -122.86396 -48.11543
N1C010108 -11.090 1.027 1.38227 512.392 343.851 -22.7 -122.76060 -48.06142
N1C010109 -10.980 1.008 1.53205 517.484 348.057 -25.4 -122.26402 -48.11998
N1C01010 -10.838 1.128 1.41595 510.034 343.124 -39.6 -121.77727 -48.34170
N1C010110 -10.820 1.109 1.22180 501.433 336.071 -8.1 -123.73880 -48.61589
N1C010111 -10.880 1.106 1.28512 503.914 337.920 -8.7 -123.67477 -48.58229
N1010112 -10.886 1.109 1.32068 507.931 340.469 -14.1 -123.61318 -48.52388
N1010113 -10.824 1.044 1.33033 508.756 341.135 -18.1 -123.07476 -48.48662
N1010114 -10.894 1.099 1.43387 511.522 343.331 -15.7 -123.51343 -48.49265
N1010115 -10.721 1.033 1.31043 503.831 338.451 -9.8 -123.09997 -48.55138
N1C10116 -10.691 1.029 1.35275 501.557 337.611 -12.0 -122.92121 -48.50995
N1010117 -10.802 1.121 1.27445 504.992 338.474 -14.2 -123.69902 -48.56359
N1010118 -10.824 1.042 1.43491 509.218 342.286 -15.5 -123.14555 -48.46495
N1C10119 -10.687 1.019 1.43385 505.769 340.610 -14.2 -122.76521 -48.44606
N1C1011 -10.860 1.001 1.81567 521.963 352.163 -38.2 -122.33863 -48.39029
N1010120 -10.734 1.012 1.49347 507.143 341.830 -16.0 -122.61866 -48.49824
N1010121 -10.576 1.011 1.50141 508.879 342.922 -20.4 -122.62066 -48.44967
N1010122 -10.899 1.087 1.42636 511.961 343.607 -15.8 -123.34835 -48.4831
N1010123 -10.781 1.053 1.35809 504.774 339.322 -18.4 -122.96071 -48.48647
N1010124 -10.700 1.041 1.59811 517.767 348.367 -21.9 -122.70573 -48.49553
N1010125 -11.042 1.073 1.32307 505.525 339.322 -20.9 -123.38379 -48.37841
N1C10126 -10.968 1.058 1.34460 509.491 341.643 -22.6 -123.34823 -48.35059
N1010127 -11.028 1.058 1.52339 520.438 349.048 -24.4 -123.27755 -48.36675
N1C10128 -10.862 1.030 1.47609 511.851 344.185 -23.3 -122.94908 -48.43645
N1C10129 -10.918 1.009 1.40035 505.769 340.313 -24.7 -122.72207 -48.36274
N1C1012 -10.870 1.032 1.77759 523.995 352.947 -32.0 -122.50775 -48.48168
N1010130 -10.972 1.062 1.43534 513.133 344.405 -24.2 -123.25568 -48.37067
N1010131 -10.972 1.022 1.64992 520.120 349.902 -27.6 -122.79718 -48.34015
N1010132 -10.931 1.006 1.45961 508.068 342.072 -28.0 -122.67457 -48.31254
N1C10133 -10.906 1.093 1.16948 498.590 334.063 -14.1 -123.63923 -48.20992
N1010134 -11.060 1.127 1.13728 500.770 335.127 -14.3 -123.52583 -48.12153
N1010135 -11.056 1.038 1.27105 506.798 339.803 -19.9 -123.11141 -48.12679
N1C10136 -10.933 1.053 1.17751 498.196 334.063 -14.1 -123.16175 -48.12475
N1010137 -11.063 1.054 1.15744 499.656 334.716 -3.7 -123.18825 -48.18549
N1010138 -10.925 1.077 1.22610 504.484 337.958 -19.0 -123.30838 -48.14546
N1010139 -11.098 1.030 1.22170 501.922 336.668 -24.6 -122.89821 -48.10191
N1C1013 -10.970 1.005 1.87127 524.970 354.084 -37.6 -122.40786 -48.28764
N1010140 -11.166 1.069 1.26520 509.907 341.616 -24.9 -122.78832 -48.03977
N1010141 -11.152 1.108 1.20541 502.257 336.650 -21.6 -123.30986 -48.10608
N1010142 -10.976 1.010 1.24746 497.895 334.746 -27.2 -122.76946 -48.06045
N1C10143 -10.899 1.030 1.20991 501.190 336.259 -7.5 -122.52198 -48.30891
N1010144 -10.828 0.972 1.28634 504.473 338.908 -23.8 -122.34884 -48.16820
N1010145 -10.841 1.092 1.21742 500.371 335.681 -17.7 -123.13658 -48.31048
N1010146 -10.958 1.023 1.36872 510.813 343.050 -11.8 -122.56947 -48.20700
N1010147 -10.846 1.047 1.18213 501.584 336.133 -27.3 -122.84674 -48.24715
N1010148 -10.966 1.117 1.14708 505.006 338.021 -13.5 -122.17133 -48.14123
N1C10149 -10.939 1.056 1.28656 507.054 340.141 -29.8 -123.02820 -48.14032
N101014 -10.787 1.043 1.76116 521.982 351.773 -38.2 -122.70531 -48.40517
N1C10150 -10.929 0.996 1.29334 500.936 336.996 -21.0 -122.43563 -48.11276
N1010151 -11.178 1.002 1.31284 502.303 337.862 -28.5 -122.50161 -48.12621
N1010152 -10.884 1.071 1.18259 499.027 334.831 -25.7 -122.85810 -48.18015
N1010153 -10.857 1.046 1.28066 502.451 337.537 -12.5 -122.75936 -48.23191
N1C10154 -10.643 1.033 1.19099 499.161 334.930 -29.3 -122.84988 -48.22665
N1010155 -10.527 1.053 1.17335 499.007 335.075 -31.5 -122.33723 -48.13497
N1010156 -10.911 1.055 1.27520 503.110 337.723 -19.1 -123.17588 -48.43867
N1010157 -10.714 1.026 1.43891 508.732 342.162 -24.1 -122.90392 -48.49012
N1C10158 -10.429 1.059 1.40225 507.625 341.215 -25.5 -122.88241 -48.63935
N1C10159 -10.868 1.038 1.37186 505.521 339.884 -20.2 -122.89393 -48.40669
N1C1015 -10.888 0.998 1.91343 524.673 354.244 -35.7 -122.28947 -48.31124
N1C10160 -10.875 1.025 1.438251 508.368 341.910 -9.9 -122.98035 -48.41017
N1C10161 -10.730 1.005 1.51888 508.951 343.124 -23.1 -122.55821 -48.41359
N1010162 -10.948 1.111 1.39520 508.147 341.288 -26.6 -123.43432 -48.39057
N1C10163 -10.991 1.022 1.46683 511.359 343.857 -28.2 -122.94448 -48.30582
N1010164 -10.835 1.017 1.47823 508.892 342.645 -28.3 -122.85534 -48.29161
N1C10165 -10.890 1.080 0.99941 489.419 327.521 -8.3 -123.30153 -48.12841
N1C10166 -10.947 1.040 1.05772 491.659 329.486 -7.1 -122.77348 -48.13368
N1C10167 -10.995 1.061 1.09543 495.350 331.896 -10.9 -122.96659 -48.19208
N1C10168 -11.101 1.049 1.09592 492.060 330.115 -14.9 -122.93446 -48.04976
N1C10169 -10.818 1.054 1.06383 491.968 329.660 -14.7 -122.81329 -48.22816
N1C1016 -10.924 1.029 1.83438 526.706 354.746 -29.6 -122.50972 -48.41207
N1C10170 -10.936 1.036 1.12216 493.113 331.019 -11.4 -122.65487 -48.20438
N1C10171 -11.063 1.054 1.19280 501.231 336.110 -17.8 -122.88100 -48.06879
N1C10172 -10.853 1.091 1.00754 493.406 330.001 -20.5 -122.99057 -48.14946
N1C10173 -10.833 1.093 1.04912 489.226 327.761 -8.5 -123.52021 -48.40395
N1C10174 -10.944 1.087 1.08396 494.362 330.781 -8.3 -123.65331 -48.29172
N1C10175 -10.971 1.045 1.10646 494.000 331.019 -6.3 -123.20741 -48.25581
N1C10176 -10.932 1.151 1.06863 497.141 332.066 -12.4 -124.12914 -48.25921
N1010177 -11.014 1.039 1.13434 507.485 338.914 -16.2 -122.93978 -48.27907
N1C10178 -11.068 1.079 1.16155 499.385 334.235 -11.4 -123.70157 -48.27243
N1010179 -11.084 1.101 1.10957 497.463 332.784 -13.5 -123.74345 -48.14610
